State,        Action 1,  Action 2,  Action 3,  Action 4,  Action 5,  Action 6,  Action 7,  Action 8,  Action 9
--- -o- xxo, -0.837100, -9.100000, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    ,     -    
--- -oo -xx, -9.100000, -9.100000, -9.100000, -0.837100,     -    ,     -    ,  9.000000,     -    ,     -    
--- -oo x-x, -9.100000, -9.100000, -9.100000,  7.190000,     -    ,     -    ,     -    ,  9.000000,     -    
--- -oo xx-, -9.100000, -9.100000, -9.100000,  7.190000,     -    ,     -    ,     -    ,     -    ,  9.000000
--- -ox ---, -0.778051, -0.778051, -0.778051, -6.151510,     -    ,     -    , -0.778051, -0.778051, -0.778051
--- -ox -ox, -9.100000, -0.837100,  9.000000, -9.100000,     -    ,     -    , -9.100000,     -    ,     -    
--- -ox -xo, -0.837100, -9.100000, -9.100000, -9.100000,     -    ,     -    , -9.100000,     -    ,     -    
--- -ox o-x, -9.100000, -9.100000,  9.000000, -9.100000,     -    ,     -    ,     -    , -9.100000,     -    
--- -ox ox-, -9.100000, -9.100000, -0.837100, -9.100000,     -    ,     -    ,     -    ,     -    , -9.100000
--- -ox x-o, -0.837100, -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    , -9.100000,     -    
--- -ox xo-, -9.100000, -0.837100, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    , -9.100000
--- -x- --o, -0.778051, -0.778051, -0.778051, -0.778051,     -    , -0.778051, -0.778051, -0.778051,     -    
--- -x- -o-,  5.723900, -0.778051,  5.723900,  5.723900,     -    ,  5.723900,  5.723900,     -    ,  5.723900
--- -x- o--, -0.778051, -0.778051, -0.778051, -0.778051,     -    , -0.778051,     -    , -0.778051, -0.778051
--- -x- oox,  9.000000, -0.837100,  7.190000,  7.190000,     -    ,  7.190000,     -    ,     -    ,     -    
--- -x- oxo, -0.837100,  9.000000, -0.837100,  7.190000,     -    ,  7.190000,     -    ,     -    ,     -    
--- -x- xoo,  7.190000, -0.837100,  9.000000,  7.190000,     -    ,  7.190000,     -    ,     -    ,     -    
--- -xo ---,  5.723900,  5.723900,  5.723900, -0.778051,     -    ,     -    ,  5.723900,  5.723900,  5.723900
--- -xo -ox,  9.000000, -0.837100,  7.190000, -0.837100,     -    ,     -    ,  7.190000,     -    ,     -    
--- -xo -xo, -9.100000,  9.000000,  7.190000, -9.100000,     -    ,     -    , -9.100000,     -    ,     -    
